"year" "section" "section.orig" "genre" "author" "years.group"
"19940317N2-008-02" "1994" "INT-ETR" "ETR" "PORTRAIT" "TINCQ HENRI" 2
"19940317N2-003-70" "1994" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 2
"19940331N2-004-03" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19940411N2-006-03" "1994" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 2
"19940419N2-005-62" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19940511N2-003-01" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19940512N2-004-04" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19940512N2-004-03" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19940512N2-004-01" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19940523N2-001-63" "1994" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19940610N2-003-62" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "TINCQ HENRI" 2
"19940615N2-008-03" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19940720N2-003-64" "1994" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 2
"19940812N2-022-31" "1994" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19940909N2-001-63" "1994" "INT-ETR" "ETR" "ENTRETIEN" "KAUFFMANN SYLVIE" 2
"19940910N2-020-34" "1994" "ECO-ENT" "ECO" "NECROLOGIE" "GROSRICHARD FRANCOIS" 2
"19940915N2-006-65" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "KAUFFMANN SYLVIE" 2
"19940923N2-001-63" "1994" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19940927N2-004-01" "1994" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19941001N2-022-32" "1994" "ECO-ENT" "ECO" "BIOGRAPHIE" "ISNARD JACQUES" 2
"19941003N2-001-63" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 2
"19941107N2-011-61" "1994" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19941107N2-013-31" "1994" "ECO-ENT" "ECO" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19941111N2-003-65" "1994" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19941111N2-003-64" "1994" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19941125N2-019-03" "1994" "ECO-ENT" "ECO" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19941201N2-007-01" "1994" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 2
"19941208N2-003-62" "1994" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19941222N2-003-64" "1994" "INT-ETR" "ETR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19941222N2-003-65" "1994" "INT-ETR" "ETR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19941228N2-004-64" "1994" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 2
"19941229N2-004-62" "1994" "INT-ETR" "ETR" "ENTRETIEN" "TINCQ HENRI" 2
"19950111N2-002-65" "1995" "INT-ETR" "ETR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19950116N2-004-02" "1995" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19950119N2-02164" "1995" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19950120N2-030-01" "1995" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19950125N2-009-09" "1995" "POL-FRA" "FRA" "PORTRAIT" "LABE YVES MARIE" 2
"19950127N2-003-01" "1995" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19950128N2-003-65" "1995" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
