"year" "section" "section.orig" "genre" "author" "years.group"
"20011020N2-010-05" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20011020N2-010-06" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20011020N2-010-07" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20011101N2-006-03" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20011101N2-006-05" "2001" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"20011102N2-020-03" "2001" "ART" "ART" "ENTRETIEN" "KECHICHIAN PATRICK" 3
"20011106N2-020-61" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20011106N2-020-63" "2001" "HOR" "HOR" "BIOGRAPHIE" "TINCQ HENRI" 3
"20011112N2-019-01" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20011115N2-010-05" "2001" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20011120N2-016-81" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20011120N2-016-83" "2001" "HOR" "HOR" "BIOGRAPHIE" "TINCQ HENRI" 3
"20011203N2-020-02" "2001" "HOR" "HOR" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20011214N2-014-61" "2001" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20011217N2-015-33" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20011217N2-020-01" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20020121N2-014-02" "2002" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20020126N2-031-83" "2002" "ART" "ART" "ENTRETIEN" "LABE YVES MARIE" 3
"20020201N2-020-02" "2002" "ECO-ENT" "ENT" "PORTRAIT" "GROSRICHARD FRANCOIS" 3
"20020204N2-020-61" "2002" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"20020208N2-004-66" "2002" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"20020227N2-032-63" "2002" "ART" "ART" "ENTRETIEN" "TINCQ HENRI" 3
"20020304N2-016-64" "2002" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20020312N2-020-03" "2002" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20020318N2-011-01" "2002" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20020318N2-020-01" "2002" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"20020403N2-006-62" "2002" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20020409N2-003-63" "2002" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"20020413N2-002-65" "2002" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20020506N2-004-04" "2002" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20020508N2-014-81" "2002" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20020510N2-007-03" "2002" "POL-FRA" "FRA" "PORTRAIT" "ISNARD JACQUES" 3
"20020514N2-007-01" "2002" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20020516N2-032-03" "2002" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20020518N2-005-65" "2002" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20020527N2-022-61" "2002" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"20020527N2-003-61" "2002" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20020603N2-020-81" "2002" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"20020606N2-004-64" "2002" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20020607N2-032-01" "2002" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20020615N2-032-04" "2002" "ART" "ART" "BIOGRAPHIE" "KECHICHIAN PATRICK" 3
"20020621N2-002-64" "2002" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20020625N2-007-02" "2002" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 3
"20020710N2-030-02" "2002" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20020710N2-013-61" "2002" "HOR" "HOR" "NECROLOGIE" "COURTOIS GERARD" 3
"20020806N2-005-34" "2002" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 3
"20020810N2-006-82" "2002" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"20020813N2-002-06" "2002" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20020820N2-003-65" "2002" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20020821N2-019-03" "2002" "ART" "ART" "PORTRAIT" "CONDE GERARD" 3
"20020909N2-010-01" "2002" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20020910N2-002-64" "2002" "INT-ETR" "INT" "ENTRETIEN" "ISNARD JACQUES" 3
"20020919N2-007-33" "2002" "POL-FRA" "FRA" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"20021007N2-022-03" "2002" "ART" "ART" "ENTRETIEN" "KECHICHIAN PATRICK" 3
"20021015N2-031-14" "2002" "ART" "ART" "ENTRETIEN" "CATINCHI PHILIPPE JEAN" 3
"20021028N2-012-61" "2002" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20021114N2-016-31" "2002" "HOR" "HOR" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"20021218N2-033-03" "2002" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20021220N2-035-04" "2002" "ART" "ART" "PORTRAIT" "CONDE GERARD" 3
"20021221N2-034-03" "2002" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
